PathwayID,PathwayName,Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,URL,Genes
hsa05219,Bladder cancer,3.24E-18,30,41,5.725784925,http://www.genome.jp/kegg-bin/show_pathway?hsa05219 , CDKN1A  CDKN2A  RASSF1  DAPK1  HBEGF  E2F3  EGF  EGFR  ERBB2  FGFR3  CXCL8  ARAF  KRAS  MDM2  MMP1  MMP2  MMP9  MYC  NRAS  MAPK1  MAPK3  MAP2K1  RAF1  RB1  CCND1  SRC  BRAF  THBS1  TP53  VEGFA
hsa05218,Melanoma,2.86E-30,52,72,5.651561788,http://www.genome.jp/kegg-bin/show_pathway?hsa05218 , CDK4  CDK6  CDKN1A  CDKN2A  GADD45G  DDB2  GADD45A  E2F3  EGF  EGFR  AKT1  AKT2  FGF1  FGF2  FGF4  FGF7  FGF9  FGF10  FGFR1  FGF21  HGF  IGF1  IGF1R  ARAF  KRAS  MDM2  MET  MITF  GADD45B  NRAS  PDGFA  PDGFB  PDGFRA  PDGFRB  PIK3CA  PIK3R1  PIK3R2  MAPK1  MAPK3  PDGFC  MAP2K1  BAD  BAK1  BAX  RAF1  RB1  CCND1  BRAF  TP53  FGF23  PIK3R3  FGF19
hsa04012,ErbB signaling pathway,2.68E-34,60,84,5.589456713,http://www.genome.jp/kegg-bin/show_pathway?hsa04012 , CDKN1A  CDKN1B  CRK  CRKL  HBEGF  EGF  EGFR  EIF4EBP1  ELK1  ERBB2  ERBB3  ERBB4  EREG  AKT1  AKT2  ABL1  GAB1  SHC2  ABL2  GRB2  GSK3B  NRG1  ARAF  JUN  AREG  KRAS  MYC  NCK1  NRAS  PAK1  PAK3  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  PRKCA  PRKCG  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  MAP2K1  BAD  PTK2  RAF1  RPS6KB1  MAP2K4  SHC1  SOS1  SRC  BRAF  STAT5A  STAT5B  TGFA  CAMK2A  CAMK2G  PIK3R3  CBL
hsa04630,JAK-STAT signaling pathway,5.84E-64,115,162,5.554953894,http://www.genome.jp/kegg-bin/show_pathway?hsa04630 , CDKN1A  PIAS3  IL24  CISH  IL22RA2  CNTF  CREBBP  CSF2  CSF2RA  CSF3  CSF3R  CSH2  CTF1  IL23R  EGF  EGFR  EP300  EPO  EPOR  AKT1  AKT2  GFAP  GH1  GH2  GHR  GRB2  IL19  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNB1  IFNG  IFNGR1  IL2  IL2RA  IL2RB  IL3  IL3RA  IL4  IL4R  IL5  IL5RA  IL6  IL6R  IL6ST  IL7  IL7R  IL9  IL10  IL10RA  IL10RB  IL11  IL11RA  IL12A  IL12B  IL12RB1  IL12RB2  IL13RA2  IL15  IL15RA  JAK1  JAK2  JAK3  LEP  LEPR  LIF  LIFR  MCL1  MPL  MYC  OSM  IL21R  IL22  PDGFA  PDGFB  PDGFRA  IL23A  PDGFRB  PIK3CA  PIK3R1  PIK3R2  IL17D  PRL  PRLR  PTPN2  PTPN6  PTPN11  RAF1  IL22RA1  IL21  CCND1  BCL2  BCL2L1  CRLF2  SOS1  STAT1  STAT2  STAT3  STAT4  STAT5A  STAT5B  STAT6  THPO  TYK2  PIK3R3  TSLP  PIAS1  SOCS1  SOCS2  CCND2  CCND3  SOCS3  OSMR
hsa04640,Hematopoietic cell lineage,2.47E-39,70,99,5.532997554,http://www.genome.jp/kegg-bin/show_pathway?hsa04640 , CR1  CR2  CSF1  CSF1R  CSF2  CSF2RA  CSF3  CSF3R  CD55  DNTT  EPO  EPOR  FCER2  FCGR1A  FLT3  GP1BA  ANPEP  GYPA  IL1A  IL1B  IL1R1  IL2RA  IL3  IL3RA  IL4  IL4R  IL5  IL5RA  IL6  IL6R  IL7  IL7R  IL11  IL11RA  ITGA6  ITGA1  ITGA2  ITGA2B  ITGA4  ITGA5  ITGAM  ITGB3  KIT  KITLG  MME  TFRC  THPO  IL1R2  CD1A  CD1B  CD1C  CD1D  CD2  CD3E  CD4  CD5  CD7  CD8A  CD8B  CD9  CD14  CD19  MS4A1  CD22  CD33  CD34  CD36  CD37  CD38  CD44
hsa04620,Toll-like receptor signaling pathway,7.21E-40,72,103,5.470070259,http://www.genome.jp/kegg-bin/show_pathway?hsa04620 , TIRAP  CHUK  MAP3K8  MAPK14  TICAM1  CTSK  AKT1  AKT2  FOS  LY96  TBK1  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNB1  TICAM2  IKBKB  IL1B  IL6  CXCL8  IL12A  IL12B  CXCL10  IRAK1  IRF3  IRF5  JUN  LBP  CXCL9  MYD88  NFKB1  NFKBIA  IRAK4  TLR7  TLR8  PIK3CA  PIK3R1  PIK3R2  TLR9  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  MAP2K3  MAP2K6  RELA  CXCL11  MAP2K4  SPP1  STAT1  MAP3K7  TLR1  TLR2  TLR3  TLR4  TLR5  TRAF3  TRAF6  CASP8  PIK3R3  IKBKG  RIPK1  FADD  CD14  CD80  CD86  CD40
hsa05161,Hepatitis B,1.17E-61,113,162,5.458346,http://www.genome.jp/kegg-bin/show_pathway?hsa05161 , CDK2  CDKN1A  YWHAQ  TIRAP  CHUK  CREB1  ATF2  CREBBP  MAPK14  TICAM1  DDB1  DDB2  DDX3X  E2F3  EGR2  EGR3  ELK1  EP300  AKT1  AKT2  PTK2B  FOS  DDX58  GRB2  TBK1  APAF1  BIRC5  HSPG2  IFNA1  IFNA5  IFNA17  IFNAR1  IFNB1  TICAM2  FAS  IKBKB  FASLG  IL6  CXCL8  IRAK1  IRF3  ARAF  JAK1  JAK2  JAK3  JUN  KRAS  SMAD3  SMAD4  MMP9  MYC  MYD88  ATF4  NFATC1  NFKB1  NFKBIA  NRAS  PCNA  IRAK4  PIK3CA  PIK3R1  PIK3R2  CYCS  PRKCA  PRKCG  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  MAP2K3  MAP2K6  BAD  BAX  RAF1  RB1  BCL2  RELA  IFIH1  MAP2K4  SOS1  SRC  BRAF  STAT1  STAT2  STAT3  STAT4  STAT5A  STAT5B  STAT6  MAP3K7  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  TLR2  TLR3  TLR4  TP53  TRAF3  TRAF6  TYK2  CASP3  CASP8  CASP9  CASP10  PIK3R3  IKBKG  FADD  CCNA2
hsa04064,NF-kappa B signaling pathway,1.94E-39,72,104,5.417473429,http://www.genome.jp/kegg-bin/show_pathway?hsa04064 , TNFSF13B  MALT1  GADD45G  EDAR  TIRAP  CHUK  TNFRSF13C  PARP1  TICAM1  GADD45A  EDA  DDX58  LY96  CXCL1  CXCL2  BIRC3  XIAP  ICAM1  TICAM2  IKBKB  IL1B  IL1R1  CXCL8  IRAK1  LBP  LCK  LTBR  LYN  MYD88  GADD45B  ATM  NFKB1  NFKB2  NFKBIA  IRAK4  PLAU  PLCG1  PLCG2  PTGS2  BCL2  BCL2A1  RELA  RELB  BCL2L1  CCL13  CCL19  CCL21  CXCL12  SYK  MAP3K7  BTK  TLR4  TNFAIP3  TNFRSF1A  TRAF1  TRAF2  TRAF3  TRAF5  TRAF6  VCAM1  ZAP70  TRIM25  CARD14  IKBKG  TNFSF11  RIPK1  TNFSF14  TNFRSF11A  CFLAR  BCL10  CD14  CD40
hsa05417,Lipid and atherosclerosis,8.65E-79,147,214,5.375281269,http://www.genome.jp/kegg-bin/show_pathway?hsa05417 , TANK  VAV3  NLRP3  TIRAP  CHUK  MAPK14  TICAM1  CYBA  CYBB  CYP1A1  CYP2A6  CYP2B6  CYP2C8  CYP2C9  ABCA1  EIF2S1  AKT1  AKT2  ERN1  ATF6  PLCB1  FOS  LY96  POU2F3  NOX1  PYCARD  TBK1  CXCL1  CXCL2  GSK3B  APAF1  HSPA5  HSPA8  HSP90AA1  HSPD1  APOA1  APOA4  APOB  ICAM1  IFNA1  IFNA5  IFNA17  IFNB1  TICAM2  FAS  IKBKB  IL1B  FASLG  IL6  CXCL8  IL12A  IL12B  IL18  IRAK1  IRF3  ITPR1  JAK2  JUN  KRAS  RHOA  LBP  LDLR  LYN  MAP3K5  MMP1  MMP3  MMP9  MYD88  ATF4  NCF2  NFATC1  NFE2L2  NFKB1  NFKBIA  NOS3  NRAS  OLR1  IRAK4  PDPK1  PIK3CA  PIK3R1  PIK3R2  PLCG1  CYCS  POU2F1  POU2F2  PPARG  PPP3CA  PRKCA  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K3  MAP2K6  BAD  PTK2  MIB1  BAX  RAP1A  BCL2  RELA  BCL2L1  RXRA  CCL2  SELE  SELP  MAP2K4  NCF1  SOD2  SRC  STAT3  MAP3K7  TLR2  TLR4  TNFRSF1A  TP53  HSP90B1  TRAF2  TRAF3  TRAF6  VCAM1  VLDLR  XBP1  CALML3  CAMK2A  CAMK2G  CASP1  CASP3  CASP7  CASP8  CASP9  PIK3R3  IKBKG  TNFSF10  TNFRSF10B  TNFRSF10A  ARHGEF1  CD14  EIF2AK3  ROCK2  CD36  CD40  CD40LG  ABCG1
hsa05230,Central carbon metabolism in cancer,2.05E-26,48,70,5.365878444,http://www.genome.jp/kegg-bin/show_pathway?hsa05230 , EGFR  ERBB2  AKT1  AKT2  FGFR1  FGFR3  FGFR2  FLT3  SIRT3  G6PD  GCK  GLS2  GLS  HIF1A  HK2  IDH1  IDH2  KIT  KRAS  LDHC  MET  MYC  NRAS  NTRK1  NTRK3  SIRT6  PDGFRA  PDGFRB  PDHA1  PDHB  PDK1  PFKM  PGAM2  PIK3CA  PIK3R1  PIK3R2  PKM  MAPK1  MAPK3  MAP2K1  RAF1  RET  SLC2A1  SLC2A2  TP53  HKDC1  PIK3R3  SLC16A3
hsa05222,Small cell lung cancer,2.97E-34,63,92,5.358587849,http://www.genome.jp/kegg-bin/show_pathway?hsa05222 , CDK2  CDK4  CDK6  CDKN1A  CDKN1B  CDKN2B  GADD45G  CHUK  CKS1B  CKS2  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL4A6  DDB2  GADD45A  E2F3  AKT1  AKT2  FHIT  FN1  LAMA1  APAF1  BIRC3  XIAP  IKBKB  ITGA6  ITGA2  ITGA2B  ITGB1  LAMA3  LAMC2  MYC  GADD45B  NFKB1  NFKBIA  PIK3CA  PIK3R1  PIK3R2  CYCS  PTGS2  PTK2  BAK1  BAX  RARB  RB1  CCND1  BCL2  RELA  BCL2L1  RXRA  TP53  TRAF1  TRAF2  TRAF3  TRAF5  TRAF6  CASP3  CASP9  PIK3R3  IKBKG
hsa04380,Osteoclast differentiation,5.70E-46,86,126,5.341036415,http://www.genome.jp/kegg-bin/show_pathway?hsa04380 , CHUK  CREB1  SIRPA  MAPK14  CSF1  CSF1R  CTSK  CYBA  AKT1  AKT2  FCGR1A  FCGR2A  FCGR2B  FCGR3A  FCGR3B  FHL2  FOS  FOSB  FOSL2  NOX1  GRB2  IFNAR1  IFNAR2  IFNB1  IFNG  IFNGR1  IKBKB  IL1A  IL1B  IL1R1  ITGB3  JAK1  JUN  JUNB  JUND  LCK  MITF  NCF2  NFATC1  NFKB1  NFKB2  NFKBIA  TNFRSF11B  PIK3CA  PIK3R1  PIK3R2  PLCG2  ACP5  TREM2  PPARG  PPP3CA  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  MAP2K6  RELA  RELB  NCF1  SPI1  STAT1  STAT2  SYK  MAP3K7  BTK  TEC  TGFB1  TGFB2  TGFBR1  TGFBR2  TNFRSF1A  TRAF2  TRAF6  TYK2  CALCR  FOSL1  CAMK4  PIK3R3  IKBKG  TNFSF11  SOCS1  TNFRSF11A  SOCS3
hsa05216,Thyroid cancer,4.12E-14,25,37,5.287323918,http://www.genome.jp/kegg-bin/show_pathway?hsa05216 , GADD45G  CTNNB1  DDB2  GADD45A  KRAS  MYC  GADD45B  NRAS  NTRK1  LEF1  PPARG  MAPK1  MAPK3  MAP2K1  BAK1  BAX  CCND1  RET  RXRA  BRAF  TCF7  TCF7L2  TP53  TPR  NCOA4
hsa04060,Cytokine-cytokine receptor interaction,8.54E-103,197,294,5.243442726,http://www.genome.jp/kegg-bin/show_pathway?hsa04060 , CCL26  CXCL13  CXCR6  TNFSF13B  EDAR  IL24  IL17F  TNFRSF13C  CCR1  CCR3  CCR4  CCR5  CCR6  CCR7  CCR8  CNTF  IL17RE  IL31RA  CSF1  CSF1R  CSF2  CSF2RA  CSF3  CSF3R  CSH2  CTF1  IL23R  CX3CR1  EDA  EPO  EPOR  TNFRSF13B  CLCF1  IL17RA  IL27  IL36RN  MSTN  AMH  GH1  GH2  GHR  IL17C  IL17B  BMP10  CCR10  XCR1  CXCR3  CXCL1  CXCL2  IL19  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNB1  IFNG  IFNGR1  FAS  IL1A  IL1B  IL1R1  IL1RAP  IL1RN  IL2  IL2RA  FASLG  IL2RB  IL3  IL3RA  IL4  IL4R  IL5  IL5RA  IL6  IL6R  IL6ST  IL7  IL7R  CXCL8  IL9  CXCR2  IL10  IL10RA  IL10RB  IL11  IL11RA  IL12A  IL12B  IL12RB1  IL12RB2  IL13RA2  IL15  IL15RA  IL16  TNFRSF9  IL17A  IL18  INHA  INHBA  CXCL10  IL31  LEP  LEPR  LIF  LIFR  LTBR  CXCL9  MPL  NGF  NGFR  TNFRSF11B  OSM  IL21R  IL22  TNFRSF12A  IL23A  PF4  PF4V1  IL17D  PPBP  IL17RB  IL26  PRL  PRLR  CCL28  CXCL16  IL22RA1  IL21  TNFRSF17  CCL1  CCL2  CCL7  CCL8  CCL11  CCL13  CCL17  CCL19  CCL20  CCL21  CCL22  CCL24  CXCL6  CXCL11  CXCL5  XCL1  CX3CL1  CXCL12  CRLF2  CXCR5  IL25  BMP2  BMP4  BMP5  BMP6  BMP7  BMP8B  BMPR1A  BMPR2  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  THPO  TNFRSF1A  TNFRSF1B  CCR2  TNFRSF4  IL1R2  CXCR4  INHBE  IL17RC  TSLP  TNFSF11  TNFRSF25  TNFSF14  TNFSF13  TNFSF12  TNFSF10  TNFRSF18  TNFRSF11A  TNFRSF10B  TNFRSF10A  IL18R1  IL33  IL1RL1  OSMR  CD4  IL32  CD27  TNFRSF8  TNFSF8  GDF15  CD40  CD40LG  CD70
hsa05162,Measles,2.10E-48,93,139,5.235591827,http://www.genome.jp/kegg-bin/show_pathway?hsa05162 , CDK2  CDK4  CDK6  CDKN1B  ADAR  CHUK  EIF2S1  AKT1  AKT2  FCGR2B  FOS  DDX58  BBC3  TBK1  GSK3B  CD209  APAF1  HSPA8  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNB1  FAS  IKBKB  IL1A  IL1B  IL2  IL2RA  FASLG  IL2RB  IL6  IL12A  IL12B  IRAK1  IRF3  JAK1  JAK3  JUN  CD46  EIF2AK4  MSN  MX1  MX2  MYD88  NFKB1  NFKBIA  IRAK4  TLR7  PIK3CA  PIK3R1  PIK3R2  TLR9  CYCS  MAPK8  MAPK9  MAPK10  EIF2AK2  BAD  BAK1  BAX  CCND1  BCL2  RELA  BCL2L1  IFIH1  SLAMF1  STAT1  STAT2  STAT3  STAT5A  STAT5B  MAP3K7  TLR2  TLR4  TNFAIP3  TP53  TP73  TRAF3  TRAF6  TYK2  CASP3  CASP8  CASP9  PIK3R3  IKBKG  FADD  CCND2  CCND3  CD3E  CD28  EIF2AK3
hsa04061,Viral protein interaction with cytokine and cytokine receptor,1.02E-34,66,99,5.216826265,http://www.genome.jp/kegg-bin/show_pathway?hsa04061 , CXCL13  IL24  CCR1  CCR3  CCR4  CCR5  CCR6  CCR7  CCR8  CSF1  CSF1R  CX3CR1  CCR10  XCR1  CXCR3  CXCL1  CXCL2  IL19  IL2  IL2RA  IL2RB  IL6  IL6R  IL6ST  CXCL8  CXCR2  IL10  IL10RA  IL10RB  IL18  CXCL10  LTBR  CXCL9  PF4  PF4V1  PPBP  CCL28  IL22RA1  CCL1  CCL2  CCL7  CCL8  CCL11  CCL13  CCL17  CCL19  CCL20  CCL21  CCL22  CCL24  CXCL6  CXCL11  CXCL5  XCL1  CX3CL1  CXCL12  CXCR5  TNFRSF1A  TNFRSF1B  CCR2  CXCR4  TNFSF14  TNFSF10  TNFRSF10B  TNFRSF10A  IL18R1
hsa05214,Glioma,1.36E-26,50,75,5.216826265,http://www.genome.jp/kegg-bin/show_pathway?hsa05214 , CDK4  CDK6  CDKN1A  CDKN2A  GADD45G  DDB2  GADD45A  E2F3  EGF  EGFR  AKT1  AKT2  SHC2  GRB2  IGF1  IGF1R  ARAF  KRAS  MDM2  GADD45B  NRAS  PDGFA  PDGFB  PDGFRA  PDGFRB  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  PRKCA  PRKCG  MAPK1  MAPK3  MAP2K1  BAK1  BAX  RAF1  RB1  CCND1  SHC1  SOS1  BRAF  TGFA  TP53  CALML3  CAMK4  CAMK2A  CAMK2G  PIK3R3
